Archetype,Recency,Frequency,Average_Order_Value,Average_Session_Duration,Cart_Abandonment_Rate,Product_Views_per_Session,Last_Used_Platform,Total_Spend_Last_Year,Customer_Support_Interactions_Score
Window Shoppers,87,1,5.57,36542,0.9896,15,Tablet,5.5,3.94
Window Shoppers,94,0,0,35504,,28,Web,0,7.14
Loyal Low-Spenders,21,19,34.7,8708,0.0442,5,Mobile App,698.43,3.64
Window Shoppers,94,0,0,34650,0.8885,37,Web,0,4.73
At-Risk,282,2,51.92,3433,0.553,1,Mobile App,91.2,1.04
Potential High-Value,56,1,295.4,22281,0.3738,27,Web,319.09,2.26
Champions,8,24,205.25,6457,0.004,1,Mobile App,5062.41,6.4
Window Shoppers,95,0,0,38692,0.9687,28,Web,0,1.22
Loyal Low-Spenders,22,11,25.81,10316,0.0469,6,Mobile App,239.86,6.11
At-Risk,292,3,45.82,3104,0.5109,3,Mobile App,111.81,5.81
Potential High-Value,56,2,309.17,22546,0.4328,21,Mobile App,667.79,2.65
Loyal Low-Spenders,15,9,28.44,8268,0.0205,1,Web,255.45,7.17
Window Shoppers,70,0,0,37148,0.9433,23,Tablet,0,6.43
Champions,6,25,196.6,6010,0.0254,1,Mobile App,4584.74,4.7
At-Risk,286,0,42.5,4913,0.6249,1,Web,0,2.72
Window Shoppers,80,0,0,39998,0.9514,20,Web,0,5.66
Window Shoppers,79,0,0,27685,0.9332,27,Web,0,5.37
Window Shoppers,76,0,0,33575,0.9335,32,Tablet,0,5.87
Champions,9,23,183.05,7713,0.0315,5,Mobile App,4020.07,8.22
At-Risk,239,1,46.54,2371,0.5933,1,Web,43.24,3.6
Loyal Low-Spenders,13,15,28.72,9952,0.0375,2,Web,425.22,7.84
At-Risk,286,0,52.49,3666,0.4229,0,Web,0,0.51
Loyal Low-Spenders,22,13,35.48,8543,0.0039,6,Web,481.85,0.95
Loyal Low-Spenders,20,16,28.72,8285,0.0173,4,Web,496.87,4.12
Loyal Low-Spenders,19,20,26.77,11206,0.0011,4,Web,551.94,5.99
Potential High-Value,66,2,289.08,22544,0.4033,16,Web,617.94,6.79
Potential High-Value,52,3,313.78,20500,0.1937,19,Web,1012.48,4.72
Loyal Low-Spenders,23,13,25.9,8784,,4,Web,423.38,3.9
Window Shoppers,72,0,0,36417,0.9529,28,Web,0,1.64
Window Shoppers,99,0,0,35184,0.9577,24,Mobile App,0,6.26
Champions,4,26,198.27,6728,0.0024,2,Web,5316.98,7.4
At-Risk,298,1,62.95,4163,0.4563,4,Web,60.77,5.51
Loyal Low-Spenders,16,11,30.6,11105,0.0014,1,Tablet,340.49,2.58
Potential High-Value,64,2,328.18,24972,,20,Mobile App,661.19,4.09
Potential High-Value,59,4,297.6,20342,0.4022,19,Web,1085.64,3.93
At-Risk,269,2,44.01,3766,0.631,1,Tablet,104.82,5.28
At-Risk,267,0,53.78,3376,0.4343,2,Mobile App,0,1.26
Loyal Low-Spenders,24,16,31.58,9747,0.003,1,Tablet,555.85,4.54
At-Risk,266,0,61.35,4392,0.471,2,Mobile App,0,2.64
Champions,12,23,188.78,5751,0.0064,3,Tablet,4262.52,1.29
Window Shoppers,75,0,0,38381,0.925,26,Mobile App,0,
Champions,7,39,189.39,7935,0.0024,3,Web,8212.53,6.4
At-Risk,274,0,52.16,4347,0.3883,1,Mobile App,0,7.92
Loyal Low-Spenders,27,20,31.66,9377,0.0473,3,Web,695.51,2.95
Loyal Low-Spenders,20,14,27.74,11003,0.0537,3,Web,383.69,7.6
At-Risk,248,0,56,4395,0.5833,1,Web,0,6.12
Window Shoppers,88,0,0,37449,0.9519,20,Mobile App,0,4.6
Champions,7,31,218.69,9655,0.0003,2,Tablet,6693.37,4.54
Loyal Low-Spenders,16,17,27.21,9290,0.0693,1,Web,491.5,2.51
At-Risk,288,1,48.81,,0.5547,4,Web,53.22,5.69
Window Shoppers,84,0,0,35475,0.9316,27,Mobile App,0,4.73
Loyal Low-Spenders,21,23,31.77,11774,0.0009,8,Web,770.5,6.14
Potential High-Value,65,5,262.62,24649,0.3391,7,Mobile App,1426.78,4.42
At-Risk,250,0,36.91,4832,0.4621,1,Mobile App,0,5.11
Window Shoppers,79,0,0,36391,0.9548,24,Mobile App,0,5.01
Champions,8,21,200.57,6571,0.0027,2,Web,3818.14,4.29
Champions,4,16,223.61,7712,0.0018,3,Web,3454.21,3.16
Window Shoppers,62,0,0,38741,0.9837,19,Mobile App,0,4.82
At-Risk,245,0,39.23,3849,0.429,2,Mobile App,0,2.54
Potential High-Value,63,2,337.35,23449,0.3707,20,Tablet,605.26,6.56
Loyal Low-Spenders,19,21,30.24,8853,0.0133,2,Web,642.09,5.64
Loyal Low-Spenders,21,20,32.97,10224,0.0092,2,Web,648.61,1.92
Window Shoppers,91,0,0,35311,0.9125,30,Mobile App,0,6.41
Potential High-Value,61,2,336.82,24808,0.2055,15,Web,602.03,4.29
Loyal Low-Spenders,20,16,26.82,8428,0.032,3,Web,375.09,4.09
Loyal Low-Spenders,21,19,26.77,9196,0.0142,5,Web,524.83,0.84
Window Shoppers,77,0,0,38870,0.9202,21,Mobile App,0,6.03
Loyal Low-Spenders,22,17,28.2,11580,0.0021,6,Web,512.29,4.13
At-Risk,271,3,48.33,4973,0.3804,1,Web,164.76,6.08
Champions,8,24,184.12,8300,0.0018,1,Mobile App,4163.8,3.97
Loyal Low-Spenders,23,9,29.16,8223,0.0243,6,Mobile App,258.85,9.71
At-Risk,269,2,72.2,4214,0.6094,2,Mobile App,124.39,5.85
At-Risk,249,1,54.56,3392,0.6396,2,Mobile App,50.88,4.73
At-Risk,246,0,45.79,3343,0.4363,0,Mobile App,0,6.3
Potential High-Value,72,1,259.79,22872,0.2172,12,Web,273.44,6.61
At-Risk,244,1,46.45,3803,0.5824,1,Mobile App,51.68,4.51
Loyal Low-Spenders,17,15,33.4,10388,0.0133,4,Web,420.83,6.59
Window Shoppers,92,0,0,35006,0.9118,22,Mobile App,0,0.11
Loyal Low-Spenders,23,12,29.13,9453,0.0665,2,Mobile App,388.33,3.6
Window Shoppers,99,0,0,32762,0.9394,23,Web,0,5.66
Loyal Low-Spenders,26,17,29.91,7953,0.0287,4,Mobile App,529.86,5.43
Window Shoppers,95,0,0,34634,0.9607,28,Web,0,6.83
Potential High-Value,74,3,247.98,20789,0.1805,15,Tablet,692.54,3.1
Champions,10,29,200.72,8112,0.0044,5,Mobile App,6361.61,2.91
Loyal Low-Spenders,24,30,29.61,8069,0.0517,1,Mobile App,776.93,
Window Shoppers,72,0,0,35709,0.9361,33,Mobile App,0,5.67
Window Shoppers,76,0,0,33987,0.8932,24,Web,0,7.33
At-Risk,269,1,43.18,5521,0.5336,2,Web,40.84,5.63
Champions,8,17,198.43,7138,0.0144,1,Mobile App,3617.53,3.05
At-Risk,240,0,41.72,5752,0.6266,0,Web,0,0.98
Champions,8,22,198.74,7328,0,2,Mobile App,4553.95,5.29
Champions,9,34,198.99,6838,0.0034,3,Mobile App,5892.19,
Window Shoppers,60,0,0,34141,0.9738,22,Web,0,8.47
Loyal Low-Spenders,17,24,32.98,9487,,1,Web,887.11,8.31
Window Shoppers,101,0,0,35624,0.9372,19,Web,0,3.65
Window Shoppers,40,0,0,32203,0.9606,20,Mobile App,0,3.48
Champions,9,16,219.36,6999,0.0068,4,Web,3829.89,4.8
Window Shoppers,80,0,0,35699,0.9785,24,Tablet,0,3.81
At-Risk,290,1,52.69,3790,0.497,2,Web,66.1,3.83
Loyal Low-Spenders,20,15,30.88,11012,0.0233,3,Tablet,511.9,4.99
Loyal Low-Spenders,25,17,28.37,10170,0.0022,4,Web,577.99,3.57
Loyal Low-Spenders,24,11,33.16,8354,0.0035,5,Web,419.93,4.79
Potential High-Value,63,1,284.33,22566,0.4451,23,Web,327.65,5.26
Window Shoppers,101,0,0,30939,0.9172,29,Mobile App,0,4.9
At-Risk,271,3,54.92,3706,0.6214,4,Web,173.82,4.06
Potential High-Value,69,4,337.49,23477,0.45,18,Web,1331.35,3.75
Champions,8,32,218.04,7679,0.0023,3,Web,6899.31,3.19
At-Risk,253,1,47.82,4242,0.4565,2,Tablet,47.26,6.78
Window Shoppers,74,0,0,35918,0.9866,32,Web,0,10
Window Shoppers,66,0,0,35663,0.9649,28,Mobile App,0,4.36
Champions,6,25,228.59,6869,0.0058,1,Mobile App,6568.29,
Window Shoppers,62,0,0,36554,0.9583,30,Web,0,6.64
Window Shoppers,117,0,0,33765,0.9124,27,Web,0,6.91
Loyal Low-Spenders,19,14,26.08,8288,0.053,9,Web,382.54,3.76
Window Shoppers,104,0,0,37210,0.98,20,Mobile App,0,1.81
Loyal Low-Spenders,18,15,36.43,5983,0.0592,3,Web,557.88,5.26
Potential High-Value,60,1,267.1,21953,0.2706,19,Mobile App,301.35,1.66
Window Shoppers,84,1,10.11,38440,0.9881,19,Mobile App,9.81,4.68
Champions,8,19,197.7,8492,0.0039,2,Tablet,3372.36,5.3
Champions,7,32,208.86,6740,0.0026,5,Web,6587.54,
Potential High-Value,58,1,342.5,21296,0.3168,13,Mobile App,342.12,2.84
Window Shoppers,75,0,0,34852,0.9486,20,Web,0,4.38
Loyal Low-Spenders,16,20,25.17,6932,0.0128,5,Web,564.78,1.51
Champions,8,24,208,6676,0.0027,4,Mobile App,4810.4,4.64
At-Risk,305,0,52.48,3677,0.4128,2,Mobile App,0,3.19
Loyal Low-Spenders,16,11,28.59,7666,0.0006,5,Web,298.72,4.56
Window Shoppers,89,0,0,34612,0.8855,16,Web,0,4.63
Loyal Low-Spenders,22,15,35.68,11582,0.0313,1,Mobile App,451.06,4.63
Potential High-Value,72,2,301.38,23370,0.3327,15,Web,658.92,5.33
Loyal Low-Spenders,23,14,33.87,7117,0.092,4,Web,458.12,3.8
Window Shoppers,70,0,0,36824,0.9899,27,Tablet,0,5.08
Loyal Low-Spenders,23,17,28.89,9519,0.007,6,Mobile App,508.99,9.17
At-Risk,310,0,38.33,3372,0.409,0,Web,0,5.99
Loyal Low-Spenders,19,21,26.99,8068,0.0093,4,Web,537.61,6.02
Window Shoppers,77,0,0,36648,0.9089,25,Web,0,9.03
At-Risk,248,0,54.44,4104,0.5593,2,Web,0,6.7
Window Shoppers,72,0,0,35538,0.9407,28,Web,0,4.45
Potential High-Value,59,4,321.52,,0.3139,14,Web,1330.62,3.68
Window Shoppers,120,0,0,36890,0.933,26,Mobile App,0,7.36
Potential High-Value,40,2,297.06,20908,0.4872,6,Mobile App,543.26,2.93
Window Shoppers,93,0,0,33713,0.9888,26,Tablet,0,6.87
Loyal Low-Spenders,16,18,31.98,11038,0.0105,5,Tablet,600.64,6.6
Window Shoppers,88,0,0,37274,0.9788,22,Web,0,5.32
Loyal Low-Spenders,28,12,33.68,8550,0.0245,4,Web,459.97,5.78
Window Shoppers,74,0,0,,0.9895,27,Web,0,5.25
Window Shoppers,76,0,0,38062,0.9271,18,Web,0,4.34
At-Risk,249,0,37.95,4792,0.5598,1,Web,0,6.16
Window Shoppers,60,0,0,33157,0.9484,13,Web,0,5.15
At-Risk,303,0,45.71,4575,0.5079,0,Mobile App,0,4.18
Window Shoppers,73,0,0,34611,0.9146,24,Web,0,4.69
Loyal Low-Spenders,18,13,28.68,8520,0.0355,6,Mobile App,378.03,7.16
Loyal Low-Spenders,22,16,23.34,8117,0.0049,2,Mobile App,382.76,5.83
Window Shoppers,82,0,0,33424,0.9455,32,Mobile App,0,5.62
Window Shoppers,76,0,0,33774,0.978,30,Web,0,8.92
At-Risk,302,2,47.96,3584,0.5507,0,Web,105.48,3.88
Champions,12,27,230.09,9089,0.0117,2,Web,6441.99,1.5
Champions,7,21,187.15,5626,0.009,1,Web,4292.14,3.74
Window Shoppers,40,0,0,32951,0.9188,28,Tablet,0,1.38
Window Shoppers,76,0,0,38170,0.9249,20,Mobile App,0,6.15
Window Shoppers,83,0,0,35252,0.9849,17,Web,0,1.59
Champions,6,27,209.65,6850,0.0085,2,Web,5077.34,7.39
Window Shoppers,72,0,0,35045,0.9431,25,Mobile App,0,0.42
Window Shoppers,69,0,0,34065,0.9577,26,Mobile App,0,4.22
Loyal Low-Spenders,23,16,32.51,7412,0.0009,4,Mobile App,490.42,4.13
Loyal Low-Spenders,15,17,29.73,6618,0.022,4,Web,409.44,4.69
At-Risk,305,1,51.29,,0.3653,2,Mobile App,51.64,5.92
At-Risk,270,0,47.41,4956,0.3161,0,Mobile App,0,6.31
Loyal Low-Spenders,18,17,27.72,8822,0.0549,1,Mobile App,449.85,3.06
Window Shoppers,77,0,0,37856,0.9251,27,Web,0,7.91
At-Risk,253,2,38.57,5069,0.584,0,Web,85.24,3.73
Champions,10,25,202.88,6465,0.0123,4,Web,5160.32,8.39
Window Shoppers,73,0,0,36738,0.9437,25,Mobile App,0,6.01
Champions,9,26,240.92,8281,,2,Mobile App,5334.01,6.33
Champions,8,25,224.87,6842,0.0031,2,Web,5532.37,3.67
Loyal Low-Spenders,27,16,30.7,8431,0.1162,5,Mobile App,572.58,
Potential High-Value,65,2,321.14,19020,0.541,21,Web,704.28,8.22
Loyal Low-Spenders,18,23,28.33,9734,0.014,2,Tablet,682.24,6.54
At-Risk,253,1,56.41,5550,0.6384,2,Web,59.97,7.01
Loyal Low-Spenders,17,20,35.39,6883,0.0033,3,Mobile App,769.28,2.58
Loyal Low-Spenders,24,15,21.91,10337,0.0651,5,Mobile App,288.38,5.81
Potential High-Value,51,1,336.87,25317,0.2089,21,Mobile App,324.08,5.27
At-Risk,276,2,45.1,4143,0.5201,1,Mobile App,97.68,7.39
Loyal Low-Spenders,20,19,29.28,10610,0.0496,3,Web,609.95,4.04
Champions,8,30,205.62,4690,0.0003,3,Web,6391.82,7.62
At-Risk,293,0,49.72,2736,0.5977,1,Mobile App,0,5.73
Potential High-Value,80,2,350.19,23192,0.3119,12,Web,824.39,4.83
Loyal Low-Spenders,21,19,28.03,9063,0.0976,2,Mobile App,439.56,2.62
Potential High-Value,75,1,311.1,23824,0.3257,11,Tablet,307.96,4.17
Window Shoppers,71,0,0,29868,0.9181,34,Web,0,2.2
At-Risk,242,0,66.87,4486,0.4499,4,Mobile App,0,5.58
Window Shoppers,102,0,0,35077,0.9704,25,Web,0,2.13
Loyal Low-Spenders,22,24,29.77,9047,0.0353,3,Web,727.49,5.64
At-Risk,248,1,65.65,4425,0.2886,0,Mobile App,59.55,6.41
Champions,9,39,207.46,8370,0.0001,1,Tablet,7092.21,4
Potential High-Value,52,1,308.58,23019,0.193,14,Web,325.68,5.88
At-Risk,302,0,64.8,5594,0.6132,1,Web,0,4.03
At-Risk,318,2,45.39,3545,0.4085,3,Web,88.22,6.54
Window Shoppers,67,0,0,32436,0.9811,20,Web,0,2.66
Window Shoppers,93,0,0,36299,0.9438,26,Web,0,4.81
Window Shoppers,79,0,0,37816,0.9266,24,Web,0,9.32
At-Risk,267,1,63.14,4211,0.6129,5,Web,59.87,0.94
Window Shoppers,70,0,0,39826,0.9166,24,Web,0,7.53
Window Shoppers,82,0,0,33555,0.9473,25,Mobile App,0,6.23
Window Shoppers,120,0,0,35414,,17,Web,0,1.62
Potential High-Value,68,1,223.91,21011,0.3577,15,Web,213.29,4.07
Window Shoppers,67,0,0,,0.9763,24,Tablet,0,2.09
Potential High-Value,76,2,286.9,18822,0.2387,12,Mobile App,516.36,5.88
At-Risk,258,1,59.75,3277,0.5535,2,Web,66.5,7.49
Window Shoppers,68,0,0,39184,0.9448,28,Mobile App,0,8.27
Window Shoppers,48,0,0,35355,0.9328,36,Mobile App,0,4.92
At-Risk,294,1,48.71,4998,0.4887,3,Mobile App,44.63,1.68
Loyal Low-Spenders,20,14,24.49,10546,0.0177,2,Web,376.93,4.87
Champions,6,31,218.4,6304,0.0005,2,Mobile App,6775.77,6.49
Window Shoppers,88,0,0,39427,0.9718,20,Mobile App,0,4.11
Loyal Low-Spenders,23,19,25.2,9933,0.0114,4,Web,539.68,2.83
Loyal Low-Spenders,18,8,34.03,9044,0.0147,3,Web,254.11,3.01
Champions,6,20,236.8,7824,0.0095,2,Mobile App,4366.29,4.81
At-Risk,247,0,54.4,4251,0.3758,1,Web,0,6.17
Window Shoppers,81,0,0,32101,0.928,31,Mobile App,0,5.26
Champions,5,23,216.26,6307,0.0007,5,Mobile App,5169.59,8.65
At-Risk,286,0,61.92,4049,0.4588,5,Web,0,5.11
At-Risk,260,1,43.34,4240,0.5168,0,Mobile App,44.52,3.72
Champions,11,29,242.47,6503,0.0182,2,Web,5868.68,5.81
Loyal Low-Spenders,19,14,31.74,8971,0.0027,1,Mobile App,394.7,
Window Shoppers,61,0,0,37602,0.9406,25,Web,0,5.38
At-Risk,264,1,34.98,5864,0.4997,2,Web,37.82,6.3
Loyal Low-Spenders,20,18,25.17,9744,0.0064,3,Web,401.28,6.51
Champions,9,27,205.49,7326,0.0091,1,Web,4873.8,5.34
Window Shoppers,52,0,0,38832,0.9461,31,Web,0,7.83
Window Shoppers,64,0,0,36083,0.8756,28,Mobile App,0,5.99
At-Risk,234,2,69.42,5980,0.4122,0,Web,133.4,2.8
Loyal Low-Spenders,23,19,29.89,10247,,1,Mobile App,539.21,0.39
Window Shoppers,80,0,0,32141,0.9669,28,Mobile App,0,5.85
At-Risk,273,0,43.6,3564,0.4964,1,Mobile App,0,6.42
Loyal Low-Spenders,14,21,29.5,8769,0.0401,2,Tablet,655.81,2.74
Loyal Low-Spenders,23,18,35.86,7192,0.0305,2,Mobile App,687.77,2.92
Champions,10,18,196.41,8025,0.0095,2,Mobile App,3447.57,7.05
At-Risk,256,0,43.97,4441,0.6064,2,Web,0,4.72
At-Risk,273,2,62.25,4282,0.5189,4,Web,129.41,6.03
Loyal Low-Spenders,27,25,30.87,6175,0.003,2,Mobile App,729.89,0.14
Loyal Low-Spenders,18,10,31.35,9788,0.0094,2,Web,310.98,4.68
Window Shoppers,76,0,0,35909,0.9817,30,Mobile App,0,3.73
Potential High-Value,55,3,289.83,27582,0.239,20,Web,874.3,6.74
Window Shoppers,85,1,8.1,35982,0.9632,28,Mobile App,8.22,2.77
At-Risk,263,0,47.84,5606,0.5367,0,Web,0,2.44
At-Risk,267,0,61.41,4528,0.5157,1,Mobile App,0,5.14
Potential High-Value,58,3,295.91,21250,,12,Mobile App,840.41,3.73
Loyal Low-Spenders,22,21,28.39,7242,0.0148,2,Web,536.9,4.76
Loyal Low-Spenders,19,16,28.49,11102,0.0359,5,Web,488.71,1.39
Champions,4,19,246.08,9946,0.0033,3,Web,4401.21,4.99
Champions,9,18,226.71,6920,0.001,4,Web,3850.07,5.52
Loyal Low-Spenders,18,12,31.47,7330,0.004,3,Mobile App,383.74,7.47
Loyal Low-Spenders,21,10,24.81,10881,0.003,2,Mobile App,246.55,4.41
Loyal Low-Spenders,21,16,30.56,5971,0.0378,7,Web,471.94,6.14
Potential High-Value,91,1,328.06,23296,0.3163,18,Web,299.14,4.87
At-Risk,280,0,44.57,5026,0.4321,0,Web,0,5.95
Window Shoppers,77,0,0,35513,,26,Mobile App,0,4.49
Loyal Low-Spenders,18,10,29.36,8704,0.0512,1,Mobile App,293.43,7.62
Loyal Low-Spenders,15,19,30.43,10370,0.0422,4,Web,560.76,3.84
Champions,9,22,230.55,6617,0.0001,4,Web,4919.64,3.89
Loyal Low-Spenders,19,19,32.09,7383,0.0329,4,Web,569.19,5.24
Window Shoppers,72,0,0,35771,0.9768,16,Web,0,5.98
At-Risk,248,0,47.73,4373,0.4206,0,Mobile App,0,4.76
Potential High-Value,55,1,329.99,18765,0.198,22,Web,315.02,3.44
Window Shoppers,104,0,0,34890,0.9057,25,Web,0,1.25
Loyal Low-Spenders,19,13,26.06,6094,0.0047,4,Web,296.07,1.25
Potential High-Value,56,2,230.93,22408,,21,Tablet,487.97,6.04
Loyal Low-Spenders,21,15,28.29,7904,0.0215,3,Mobile App,362.08,1.99
Champions,9,28,208.02,,0.0019,2,Tablet,5593.05,2.75
Loyal Low-Spenders,24,21,28.75,11003,0.0104,3,Web,501.65,10
Window Shoppers,105,0,0,37317,0.9863,25,Web,0,5.32
Potential High-Value,73,1,276.34,20281,0.4366,17,Web,288.22,4.82
Window Shoppers,74,0,0,39299,0.954,26,Tablet,0,5.21
Champions,6,27,195.53,7877,0.0046,4,Web,5193.93,4.44
Loyal Low-Spenders,24,22,32.14,,0.0008,4,Web,585.24,2.25
Window Shoppers,70,0,0,41921,0.9793,29,Web,0,2.96
Window Shoppers,87,0,0,35494,,21,Web,0,5.17
Potential High-Value,58,2,276.06,,0.6442,20,Tablet,551.89,7.06
At-Risk,280,0,49.12,1506,,1,Web,0,3.41
At-Risk,274,1,67.74,2765,0.5321,0,Web,61.73,7.38
At-Risk,296,0,53.4,3925,0.6282,0,Mobile App,0,5.2
At-Risk,268,1,62.23,4541,0.475,2,Web,65.71,3.53
Potential High-Value,73,2,332.36,20911,0.5381,15,Tablet,683.73,7.17
Potential High-Value,55,3,288.56,25277,0.3355,19,Mobile App,924.08,6.59
Window Shoppers,82,0,0,40987,0.9097,23,Mobile App,0,7.31
Loyal Low-Spenders,20,15,24.87,11132,0.0074,2,Web,375.17,6.54
Loyal Low-Spenders,19,19,27.35,9238,0.059,6,Mobile App,585.71,3.87
Window Shoppers,78,0,0,37158,0.9494,24,Web,0,4.8
Window Shoppers,104,0,0,36396,0.9486,26,Web,0,4.78
Window Shoppers,87,0,0,38868,0.8418,18,Mobile App,0,7.09
At-Risk,284,2,49.15,4272,0.4718,0,Mobile App,114.64,8.38
At-Risk,243,3,55.76,3100,0.5232,0,Web,150.4,3.1
Champions,8,34,225.68,6461,0.0123,5,Mobile App,6119.54,3.85
At-Risk,302,0,35.11,4525,0.4894,0,Mobile App,0,3.98
Potential High-Value,72,1,297.7,22908,0.4002,19,Mobile App,255.7,8.11
At-Risk,262,1,45.83,3311,0.5351,1,Mobile App,49.47,6.29
Loyal Low-Spenders,19,25,30.99,9646,,2,Web,721.48,3.79
Champions,7,27,231.83,8049,0.0007,2,Mobile App,6445.72,6.59
At-Risk,284,0,55.31,3005,0.5389,0,Web,0,0.52
Champions,4,18,197.98,7694,0.0006,2,Mobile App,4004.85,4.92
Potential High-Value,55,3,286.06,20372,0.3321,19,Mobile App,853.24,4.1
Champions,7,36,217.59,7195,,1,Web,8690.32,5.66
Loyal Low-Spenders,23,19,36.78,6264,0.0453,4,Web,685.42,4.16
Champions,11,29,195.06,5467,0.0132,1,Web,6012.79,4.27
Loyal Low-Spenders,19,16,28.32,6357,0.0076,2,Web,466.13,4.98
Champions,9,27,219.95,6224,0.0008,4,Mobile App,6682.28,5.33
Champions,6,16,197.27,6995,0.0134,4,Tablet,3053.02,5.74
Window Shoppers,71,0,0,38763,0.9557,25,Tablet,0,5.12
At-Risk,267,0,54.92,3733,0.391,1,Tablet,0,5.07
Window Shoppers,84,0,0,33617,0.9509,27,Web,0,4.89
Window Shoppers,92,0,0,38084,0.9604,25,Web,0,4.69
Window Shoppers,80,0,0,35030,0.8933,25,Mobile App,0,6.64
Window Shoppers,51,0,0,39280,0.9441,19,Mobile App,0,6.8
Loyal Low-Spenders,19,20,27.28,10248,0.0775,5,Mobile App,524.48,5.58
At-Risk,252,0,67.76,5094,0.5977,1,Web,0,3.47
Window Shoppers,54,0,0,35628,0.9466,28,Web,0,6.67
Loyal Low-Spenders,12,19,32.96,7206,0.0096,5,Tablet,663.95,3.9
Champions,7,21,195.17,7916,0.013,2,Tablet,4208.26,7.5
Window Shoppers,66,0,0,36471,0.9737,35,Web,0,5.17
At-Risk,240,1,51.98,3484,0.4964,1,Web,53.1,5.75
At-Risk,274,1,61.96,4391,0.5283,4,Web,53.78,7.38
At-Risk,284,1,59.72,4531,0.5215,4,Mobile App,59.78,7.67
At-Risk,280,1,70.93,5042,0.4881,3,Mobile App,70.15,2.97
Window Shoppers,94,0,0,31036,0.9846,15,Tablet,0,10
Loyal Low-Spenders,18,11,33.94,8116,0.0029,4,Web,321.7,5.14
At-Risk,273,2,53.66,5079,0.5642,2,Web,112.95,6.28
Loyal Low-Spenders,22,22,30.59,9762,0.0007,4,Web,755.15,3.51
Window Shoppers,82,0,0,35237,0.8943,19,Web,0,3.17
Potential High-Value,56,4,320.64,24647,0.2913,9,Web,1068.51,6.47
Champions,8,20,201.58,6192,0.0002,1,Mobile App,4147.81,4.1
Champions,8,18,206.54,8258,0.0245,3,Mobile App,3618.8,4.25
At-Risk,285,0,54.2,4944,0.4295,0,Web,0,4.79
At-Risk,280,2,48.87,4050,0.5011,2,Web,92.27,8.9
Loyal Low-Spenders,23,12,24.93,7254,0.0137,2,Web,315.5,
Champions,11,22,215.37,7546,0.0226,3,Tablet,4265.92,3.07
At-Risk,254,2,45.65,3972,0.5072,1,Mobile App,99.59,2.18
At-Risk,263,1,54.31,1988,0.364,3,Web,54.78,3.14
Potential High-Value,59,3,309.02,21964,0.2599,16,Mobile App,1045.04,6.96
Loyal Low-Spenders,18,11,30.3,9964,0.0424,3,Web,295.97,1.58
Window Shoppers,64,0,0,39483,0.9895,20,Web,0,4.51
At-Risk,290,3,49.08,4468,0.4307,2,Mobile App,136.73,5.42
Window Shoppers,79,0,0,34567,0.9613,17,Mobile App,0,
Loyal Low-Spenders,19,24,29.2,9085,0.0223,5,Web,776.14,6.98
Window Shoppers,74,0,0,33351,0.8983,26,Web,0,
Loyal Low-Spenders,21,16,28.58,6086,0.0193,4,Tablet,431.27,6.94
Window Shoppers,67,0,0,37732,0.9184,23,Web,0,
Loyal Low-Spenders,19,15,33.54,8537,0.0181,4,Tablet,585.75,7.7
At-Risk,244,2,42.18,4334,0.6043,3,Mobile App,61.52,4.5
At-Risk,274,0,44.69,3998,0.4668,1,Mobile App,0,2.99
Window Shoppers,99,0,0,40868,0.9533,27,Mobile App,0,9.66
Window Shoppers,95,0,0,31881,0.9523,35,Mobile App,0,1.79
Loyal Low-Spenders,18,17,30.05,10067,0.0294,5,Web,443.65,6.5
Potential High-Value,51,2,283.05,21986,0.3552,17,Web,500.6,8.05
Window Shoppers,88,0,0,34405,0.9344,27,Web,0,3.68
At-Risk,269,0,34.05,4062,0.4685,3,Mobile App,0,5.25
Champions,9,31,215.38,6359,0.0189,4,Web,5635.55,1.43
At-Risk,272,1,45.86,3935,0.6239,1,Web,51.62,2.6
Window Shoppers,65,0,0,38106,0.9458,16,Web,0,5.12
Potential High-Value,55,3,307.71,21932,0.4488,14,Mobile App,745.42,6.75
Window Shoppers,74,0,0,31704,0.9446,31,Mobile App,0,7.85
Potential High-Value,56,3,298.82,24727,0.348,14,Mobile App,793.46,4.34
Potential High-Value,61,2,321.36,25787,0.48,15,Web,692.16,0.64
Loyal Low-Spenders,17,12,28.88,5658,0.025,3,Web,246.27,
Window Shoppers,95,0,0,34310,0.9369,27,Tablet,0,6.61
Window Shoppers,63,0,0,37111,0.8711,37,Web,0,4.78
Window Shoppers,89,0,0,38302,0.8719,29,Mobile App,0,5.1
Champions,9,27,232.13,,0.0005,3,Mobile App,5709.21,2.64
At-Risk,273,0,48.75,5253,0.473,0,Web,0,4.83
Potential High-Value,67,1,273.29,20210,0.2016,18,Tablet,245.29,6.07
Loyal Low-Spenders,21,21,33.08,8577,0.0341,2,Web,711.61,2.86
Loyal Low-Spenders,20,21,28.04,8642,0.0193,1,Web,594.38,3.52
Champions,8,34,213.31,7147,0.0058,3,Web,5129.18,2.87
Loyal Low-Spenders,22,11,28.56,9802,0.0035,2,Tablet,340.54,1.76
Potential High-Value,61,2,301.5,20805,0.2082,17,Web,604.35,3.39
Champions,8,24,216.6,8384,0.0048,8,Web,6047.22,2.08
Window Shoppers,101,0,0,34995,0.9397,20,Tablet,0,2.55
Loyal Low-Spenders,21,14,32.13,7861,0.0319,7,Web,507.82,4.23
Loyal Low-Spenders,21,17,29.34,8868,0.0063,5,Mobile App,523.35,6.59
